index,full_count_name,full_count,full_count_pos_name,full_count_pos,full_count_neg_name,full_count_neg,florida_count_name,florida_count,florida_count_pos_name,florida_count_pos,florida_count_neg_name,florida_count_neg,japan_count_name,japan_count,japan_count_pos_name,japan_count_pos,japan_count_neg_name,japan_count_neg,singapore_count_name,singapore_count,singapore_count_pos_name,singapore_count_pos,singapore_count_neg_name,singapore_count_neg
21,my friend dinosaur,829,donkey live,715.0,hogwarts express: king's cross station,179.0,ohyah of ohyah & ohno drop slides,554.0,ohyah of ohyah & ohno drop slides,388.0,hogwarts express: hogsmeade station,147.0,triwizard spirit rally,138.0,triwizard spirit rally,93.0,big bird's big nest,26.0,,,,,,
22,donkey live,822,my friend dinosaur,696.0,ohyah of ohyah & ohno drop slides,166.0,ahno of ohyah & ohno drop slides,554.0,ahno of ohyah & ohno drop slides,388.0,the incredible hulk coaster,118.0,flight the hippogriff,101.0,flight the hippogriff,84.0,abby's magical party,25.0,,,,,,
23,sing on tour,778,water world,592.0,ahno of ohyah & ohno drop slides,166.0,storm force accelatron,486.0,storm force accelatron,269.0,ko'okiri body plunge,108.0,terminator 2: 3-d,90.0,terminator 2: 3-d,74.0,snoopy's sound stage adventure,23.0,,,,,,
24,water world,732,sing on tour,575.0,hogwarts express: hogsmeade station,147.0,ko'okiri body plunge,356.0,ko'okiri body plunge,248.0,hagrid's magical creatures motorbike adventure,103.0,the flying snoopy,87.0,universal spectacle night parade: the best of  hollywood,74.0,ernie's rubber ducker race,19.0,,,,,,
25,hogwarts express: king's cross station,659,king julien's beach party-go-round,523.0,water world,140.0,jurassic park river adventure,209.0,jurassic park river adventure,159.0,flight of the hippogriff,60.0,universal spectacle night parade: the best of  hollywood,83.0,the flying snoopy,72.0,flight the hippogriff,17.0,,,,,,
26,king julien's beach party-go-round,626,battlestar galactica: human,520.0,my friend dinosaur,133.0,flight of the hippogriff,200.0,flight of the hippogriff,140.0,skull island: reign of kong,54.0,hello kitty's ribbon collection,77.0,hello kitty's ribbon collection,68.0,terminator 2: 3-d,16.0,,,,,,
27,battlestar galactica: human,604,hagrid's magical creatures motorbike adventure,486.0,bert & ernie's wonder: the sea,122.0,teawa the fearless river,181.0,teawa the fearless river,134.0,jurassic park river adventure,50.0,snoopy's sound stage adventure,70.0,space fantasy - the ride,47.0,sesame street no limit! energy,15.0,,,,,,
28,hagrid's magical creatures motorbike adventure,589,hogwarts express: king's cross station,480.0,the incredible hulk coaster,118.0,skull island: reign of kong,139.0,skull island: reign of kong,85.0,teawa the fearless river,47.0,big bird's big nest,70.0,snoopy's sound stage adventure,47.0,space fantasy - the ride,15.0,,,,,,
29,hogwarts express: hogsmeade station,585,universal monsters live: rock and roll show,451.0,universal monsters live: rock and roll show,109.0,puka uli lagoon,92.0,puka uli lagoon,74.0,waturi beach,27.0,space fantasy - the ride,62.0,sesame street no limit! energy,44.0,the flying snoopy,15.0,,,,,,
30,universal monsters live: rock and roll show,560,hogwarts express: hogsmeade station,438.0,ko'okiri body plunge,108.0,waturi beach,70.0,woody woodpecker's nuthouse coaster,46.0,puka uli lagoon,18.0,sesame street no limit! energy,59.0,big bird's big nest,44.0,backdraft,13.0,,,,,,
31,ohyah of ohyah & ohno drop slides,554,shrek 4-d adventure,399.0,donkey live,107.0,woody woodpecker's nuthouse coaster,56.0,waturi beach,43.0,doctor doom's fearfall,15.0,backdraft,55.0,backdraft,42.0,grover's construction company,12.0,,,,,,
32,ahno of ohyah & ohno drop slides,554,ahno of ohyah & ohno drop slides,388.0,king julien's beach party-go-round,103.0,dudley do-right's ripsaw falls,35.0,dudley do-right's ripsaw falls,27.0,woody woodpecker's nuthouse coaster,10.0,freeze ray sliders,51.0,cookie monster slide,42.0,freeze ray sliders,11.0,,,,,,
33,storm force accelatron,486,ohyah of ohyah & ohno drop slides,388.0,hagrid's magical creatures motorbike adventure,103.0,doctor doom's fearfall,30.0,kang & kodos' twirl 'n' hurl,17.0,kang & kodos' twirl 'n' hurl,8.0,jaws,50.0,jaws,41.0,hello kitty's ribbon collection,9.0,,,,,,
34,wand magic,457,wand magic,388.0,power of pop unlimited,97.0,kang & kodos' twirl 'n' hurl,25.0,doctor doom's fearfall,15.0,dudley do-right's ripsaw falls,8.0,cookie monster slide,48.0,freeze ray sliders,40.0,jaws,9.0,,,,,,
35,shrek 4-d adventure,442,abby's magical tree,344.0,minion rally,95.0,krakatu aqua coaster,18.0,krakatu aqua coaster,13.0,krakatu aqua coaster,5.0,jurassic park - the ride,42.0,jurassic park - the ride,38.0,universal spectacle night parade: the best of  hollywood,9.0,,,,,,
36,bert & ernie's wonder: the sea,428,power of pop unlimited,319.0,battlestar galactica: human,84.0,popeye & bluto's bilge-rat barges,16.0,popeye & bluto's bilge-rat barges,12.0,ika moana of the honu ika moana,4.0,ernie's rubber ducker race,39.0,frog choir,24.0,frog choir,7.0,,,,,,
